borrowers_id,borrower,financier,goal,impagency,url,projectid
204,"UNESCO INSTITUTE FOR STATISTICS",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","UNESCO INSTITUTE FOR STATISTICS",http://projects.worldbank.org/P113571/uis-building-sustainable-reporting-systems-education-finance?lang=en,896
205,,IDA43800;IDA43800;IBRD48790,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP",,http://projects.worldbank.org/P102737/bihar-dpl?lang=en,451
206,"PALESTINIAN AUTHORITY",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF FINANCE",http://projects.worldbank.org/P108373/third-emergency-services-support-project-essp-iii?lang=en,881
207,"UN INTERIM ADMINISTRATION KOSOVO UNMIK",IDAH3420;IDAH3420,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION; SCIENCE AND TECHNOLOGY",http://projects.worldbank.org/P102174/institutional-development-education-project?lang=en,467
208,"GOVERNMENT OF NEPAL",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION AND SPORTS",http://projects.worldbank.org/P107558/education-all-additional-financing?lang=en,318
209,,IBRD74920;IBRD74920,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG",,http://projects.worldbank.org/P052608/antioquia-upper-secondary-education?lang=en,39
210,"MINISTRY OF EDUCATION",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P105555/basic-education--additional-financing?lang=en,69
211,"REPUBLIC OF MADAGASCAR",IDA43410;IDA43410,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF ECONOMY; FINANCE AND BUDGET (MEFB)",http://projects.worldbank.org/P099420/poverty-reduction-strategy-credit?lang=en,624
212,"REPUBLIC OF INDONESIA",IBRD74760;IBRD74760;IDA43490,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF NATIONAL EDUCATION",http://projects.worldbank.org/P097104/bermutu-better-education-through-reformed-management-universal-teacher-upgrading?lang=en,50
213,"GOVERNMENT OF INDONESIA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","GOVERNMENT OF INDONESIA",http://projects.worldbank.org/P106107/dutch-education-support-program-tf057271-recipient-executed?lang=en,181
214,"GOVERNMENT OF ARGENTINA",IBRD74740;IBRD74740,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION; CIENCE AND TECHNOLOGY (MECYT)",http://projects.worldbank.org/P095514/ar-lifelong-learning-project?lang=en,15
215,"GOVERNMENT OF BANGLADESH",IDA43240;IDA43240,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","MINISTRY OF EDUCATION",http://projects.worldbank.org/P102541/third-programmatic-education-sector-development-support-credit?lang=en,888
216,"GOVERNMENT OF PAKISTAN",IDA43180;IDA43180,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","GOVERNMENT OF SINDH",http://projects.worldbank.org/P100846/sindh-dpc?lang=en,788
217,"GOVERNMENT OF INDONESIA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","GOVERNMENT OF INDONESIA",http://projects.worldbank.org/P115724/basic-education-capacity-recipient-executed?lang=en,71
218,"GOVERNMENT OF DRC",IDAH3030;IDAH3030,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP",,http://projects.worldbank.org/P086294/education-sector-project?lang=en,160
219,"GOVT OF THE REPUBLIC OF NAMIBIA",IBRD74470;IBRD74470,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities|Millennium Development Goals;GPG|CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P086875/education-training-sector-improvement-program-etsip?lang=en,316
220,"REPUBLIC OF BENIN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF PRIMARY EDUCATION AND EARLY CHILDHOOD",http://projects.worldbank.org/P110576/education-all-fast-track-initiative-program?lang=en,225
221,"KYRGYZ REPUBLIC",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P106451/education-all-fast-track-initiative-catalytic-fund-grant?lang=en,319
222,"UNMIK IN KOSOVO",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION; SCIENCE AND TECHNOLOGY",http://projects.worldbank.org/P106670/education-participation-improvement-project-epip-ii?lang=en,237
223,"REPUBLIC OF TOGO",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","AGAIB SAVANES AND BNL",http://projects.worldbank.org/P105385/poverty-reduction-emergency-program-savanes-bnl?lang=en,621
224,"GOVERNMENT OF HAITI",IDAH5880;IDAH5880;IDAH2860,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","OFFICE NATIONAL DE PARTENARIAT (ONP)",http://projects.worldbank.org/P099918/ht-education-all-adaptable-program-grant-phase-1?lang=en,423
225,"REPUBLIC OF CAPE VERDE",IDA42800;IDA42800,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF FINANCE AND PUBLIC ADMINISTRATION",http://projects.worldbank.org/P100807/poverty-reduction-support-credit-iii?lang=en,582
226,"GOVERNMENT OF MONGOLIA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION; CULTURE AND SCIENCE",http://projects.worldbank.org/P108776/mongolia-education-all-fast-track-initiative-efa-fti-catalytic-trust-fund?lang=en,504
227,GEORGIA,IDA42460;IDA42460,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P098217/education-system-realignment-strengthening-program-apl-2?lang=en,309
228,"GOVERNMENT OF KENYA",IDA42420;IDA42420,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities|Millennium Development Goals;GPG|CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF EDUCATION; SCIENCE & TECHNOLOGY",http://projects.worldbank.org/P087479/education-sector-support-program?lang=en,304
229,"MINISTRY OF EDUCATION OF IRAQ",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION OF IRAQ",http://projects.worldbank.org/P100726/escrp-additional-financing?lang=en,196
230,WBIHD,,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","WORLD LINKS",http://projects.worldbank.org/P099481/tf051602-jsdf-east-asia-asean-school-net?lang=en,851
231,"GOVERNMENT OF THE REPUBLIC OF SENEGAL",IDA42310;IDA42310,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","MINISTRY OF EDUCATION",http://projects.worldbank.org/P089254/quality-education-all-project-phase-2?lang=en,675
232,INDONESIA,IDA42050;IDA42050,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF NATIONAL EDUCATION",http://projects.worldbank.org/P089479/early-childhood-education-development-project?lang=en,205
233,"ISLAMIC REPUBLIC OF PAKISTAN",IDA42030;IDA42030,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","BALOCHISTAN EDUCATION FOUNDATION",http://projects.worldbank.org/P094086/balochistan-education-support-project-besp?lang=en,593
234,"REPUBLIC OF THE PHILIPPINES",IBRD73930;IBRD73930,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","DEPARTMENT OF EDUCATION",http://projects.worldbank.org/P094063/national-support-basic-ed?lang=en,549
235,"GOVERNMENT OF PAKISTAN",IDA41760;IDA41760,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP","DEPARTMENT OF EDUCATION; GOVERNMENT OF PUNJAB",http://projects.worldbank.org/P097636/punjab-education-development-policy-credit-iii?lang=en,671
236,ALBANIA,IDA41800;IDA41800,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION AND SCIENCE",http://projects.worldbank.org/P078933/education-excellence-equity-project?lang=en,222
237,"GOVERNMENT OF THE GAMBIA",IDAH2300;IDAH2300;IDAH5900,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","DEPARTMENT OF STATE FOR EDUCATION",http://projects.worldbank.org/P077903/third-education-project-phase-ii?lang=en,877
238,"REPUBLIC OF MOLDOVA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION; YOUTH AND SPORTS",http://projects.worldbank.org/P101439/education-all-fast-track-initiative-catalytic-fund-moldova?lang=en,325
239,"GOVERNMENT OF TIMOR LESTE",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION AND CULTURE",http://projects.worldbank.org/P104339/tp-primary-education-support-projecttf056715?lang=en,862
240,DJIBOUTI,,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P101445/djibouti-catalytic-fund-education-child-tf056633?lang=en,156
241,"REPUBLIC OF MALDIVES",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF HUMAN RESOURCES",http://projects.worldbank.org/P099652/additional-financing-maldives-educ-trg-iii?lang=en,25
242,"SOUTHERN SUDAN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG",MOEST,http://projects.worldbank.org/P097962/multidonor-rehabilitation-education-project?lang=en,532
243,"REPUBLIC OF MOLDOVA",IDAH2080;IDAH2080;IDA41550;IDA50800,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION; YOUTH AND SPORTS",http://projects.worldbank.org/P090340/quality-education-rural-areas-moldova?lang=en,677
244,"PEOPLE'S REPUBLIC OF BANGLADESH",IDA41520;IDA41520,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P084567/education-sector-development-support-credit-ii?lang=en,288
245,"REPUBLIC OF YEMEN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P099179/yemen-education-all-calalytic-fund-ii?lang=en,932
246,"GOVERNMENT OF SRI LANKA",IDAH1960;IDAH1960;IDA44230,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P084580/sri-lanka-education-sector-development-project?lang=en,822
247,"SECRETARIAT OF PUBLIC EDUCATION",IBRD73470;IBRD73470,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","SUBSECRETARIAT OF BASIC EDUCATION",http://projects.worldbank.org/P088728/mexico-education-quality?lang=en,519
248,"REPUBLIC OF TAJIKISTAN",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION / PROJECT IMPLEMENTATION UNIT",http://projects.worldbank.org/P101425/education-all-fast-track-initiative-catalytic-fund-tajikistan?lang=en,326
249,"REPUBLIC OF DJIBOUTI",IDA41220;IDA41220,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION AND HIGHER EDUCATION",http://projects.worldbank.org/P086994/second-school-access-improvement?lang=en,757
250,TIMORLESTE,IDAH1860;IDAH1860,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF PLANNING AND FINANCE",http://projects.worldbank.org/P088181/consolidation-support-program-policy-grant?lang=en,153
251,"GOVERNMENT OF MADAGASCAR",IDA41000;IDA41000,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","MINISTRY OF FINANCE AND MINISTRIES OF EDUCATION",http://projects.worldbank.org/P083326/mg-poverty-reduction-support-credit-ii?lang=en,501
252,"PEOPLE'S REPUBLIC OF CHINA",IBRD73100;IBRD73100,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF FINANCE",http://projects.worldbank.org/P071094/poor-rural-communities-development-project?lang=en,580
253,"THE GOVERNMENT OF URUGUAY",IBRD73020;IBRD73020,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","MINISTRY OF ECONOMY",http://projects.worldbank.org/P095028/uruguay-social-program-support-loan?lang=en,905
254,"GOVERNMENT OF NIGER",IDAH1720;IDAH1720;IDA40660,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF ECONOMY AND FINANCE",http://projects.worldbank.org/P083275/niger-public-expenditure-reform-credit?lang=en,556
255,"GOVERNMENT OF UKRAINE",IBRD47800;IBRD47800,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION",http://projects.worldbank.org/P077738/equal-access-quality-education-ukraine-project?lang=en,353
256,CAMBODIA,IDAH1610;IDAH1610;IDA40550,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION; YOUTH; AND SPORT",http://projects.worldbank.org/P070668/basic-education-project?lang=en,81
257,"GOVERNMENT OF VIETNAM",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","GOVERNMENT OF VIETNAM",http://projects.worldbank.org/P080194/education-for-all-vietnam-cida-betf-tf053231-retf-tf053232?lang=en,327
258,"REPUBLIC OF TURKEY",IBRD47670;IBRD47670,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","MINISTRY OF NATIONAL EDUCATION",http://projects.worldbank.org/P066149/secondary-education-project?lang=en,773
259,"GOVERNMENT OF MOROCCO",IBRD72730;IBRD72730,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION",http://projects.worldbank.org/P043412/morocco-basic-education-reform-support-program?lang=en,528
260,"MINISTRY OF FINANCE",IDAH1370;IDAH1370,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION",http://projects.worldbank.org/P078976/rural-education-project?lang=en,706
261,"GOVT OF INDONESIA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P090126/stand-alone-dutch-tf-eu-842370-tfm54419?lang=en,382
262,"GOVERNMENT OF TIMORLESTE",IDAH1310;IDAH1310,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF PLANNING AND FINANCE",http://projects.worldbank.org/P083894/third-transition-support-program?lang=en,890
263,"IRAQ MINISTRY OF EDUCATION",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","IRAQ MINISTRY OF EDUCATION",http://projects.worldbank.org/P087907/emergency-school-construction-rehabilitation-project?lang=en,343
264,"GOVERNMENT OF THE REPUBLIC OF CONGO",IDAH4870;IDAH4870;IDAH1270,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION",http://projects.worldbank.org/P084317/republic-congo-support-basic-education-project?lang=en,694
265,"THE COOPERATIVE REPUBLIC OF GUYANA",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P089324/guyana-education-all-fast-track-initiative?lang=en,398
266,"PEOPLE'S REPUBLIC OF BANGLADESH",IDA39730;IDA39730,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION AND PRIMARY & MASS EDUCATION DIVISION",http://projects.worldbank.org/P077789/education-sector-development-support-credit?lang=en,289
267,"ISLAMIC REPUBLIC OF AFGHANISTAN",IDAH1190;IDAH1190,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION; MINISTRY OF HIGHER EDUCATION",http://projects.worldbank.org/P083964/education-quality-improvement-program?lang=en,255
268,"GOVERNMENT OF NEPAL",IDA39560;IDA39560;IDAH3400,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION AND SPORTS",http://projects.worldbank.org/P074633/education-all-project?lang=en,323
269,"UNITED REPUBLIC OF TANZANIA",IDAH0930;IDAH0930;IDA39150,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","MINISTRY OF EDUCATION AND CULTURE",http://projects.worldbank.org/P083080/secondary-education-development-program?lang=en,765
270,"GOVERNMENT OF SAO TOME E PRINCIPE",IDA39020;IDA39020;IDAH0880;IDAH5590,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities|Millennium Development Goals;GPG|CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG",GOVERNMENT,http://projects.worldbank.org/P075979/social-sector-support-project?lang=en,815
271,"IRAQ MINISTRY OF EDUCATION",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","IRAQ MINISTRY OF EDUCATION",http://projects.worldbank.org/P088945/iraq-emergency-textbook-provision-project?lang=en,473
272,"MINISTRY OF PLANNING AND INTERN COOP",,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","MINISTRY OF EDUCATION",http://projects.worldbank.org/P083678/yemen-education-all-ta-len?lang=en,930
273,"GOVERNMENT OF BENIN",IDA38730;IDA38730,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Global Public Goods Priorities|Millennium Development Goals;GPG|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","GOVERNMENT OF BENIN",http://projects.worldbank.org/P072003/poverty-reduction-strategy-credit-1st-prsc?lang=en,622
